Timestamp,CarRoll,CarPitch,CarYaw,RollGrad,ax,ay,az,ForwardAccel,LateralAccel,HeaveAccel,PitchRate,RollRate,YawRate,qw,qx,qy,qz,ShockPot1,ShockPot2,BrakePressure
1970-01-01 00:00:12.341,-146.00,-87.77,136.22,-83.22,0.48,1.05,-10.97,-0.00,1.05,0.39,-0.34,-6.71,9.18,0.64,-0.76,-0.00,0.02,61.36,0.67,201
1970-01-01 00:00:12.411,-145.05,-87.71,135.41,-50.23,-3.12,1.75,-9.25,-0.00,1.75,0.39,0.56,-4.81,2.57,0.65,-0.76,-0.00,0.02,61.36,0.67,195
1970-01-01 00:00:12.471,-145.01,-87.67,135.68,-1496.21,-1.43,0.06,-9.40,-0.00,0.06,0.39,-0.34,-10.52,-5.37,0.65,-0.76,-0.00,0.02,61.36,0.67,205
1970-01-01 00:00:12.541,-144.98,-87.68,135.71,-897.82,-1.39,0.10,-8.67,0.58,0.10,-0.48,0.34,-4.81,0.00,0.65,-0.76,-0.00,0.02,61.36,0.67,203
1970-01-01 00:00:12.611,-144.51,-87.66,135.56,-4487.96,-1.70,0.02,-8.86,0.58,0.02,-0.48,0.22,-6.83,-6.27,0.65,-0.76,-0.00,0.02,61.29,0.67,202
1970-01-01 00:00:12.690,-144.79,-87.67,135.83,200.39,-1.17,-0.44,-7.68,0.49,-0.44,0.82,0.90,0.67,-4.81,0.65,-0.76,-0.00,0.02,61.23,0.67,206
1970-01-01 00:00:12.761,-144.34,-87.69,135.38,-45.26,-0.94,1.94,-8.48,-0.66,1.94,1.37,-0.11,4.81,6.04,0.65,-0.76,-0.00,0.02,61.29,0.85,193
1970-01-01 00:00:12.831,-144.17,-87.72,135.26,-80.20,-2.43,1.09,-8.94,-0.66,1.09,1.37,0.00,6.71,-1.45,0.65,-0.76,-0.00,0.02,61.36,0.67,201
1970-01-01 00:00:12.892,-145.20,-87.64,136.52,-168.70,-2.43,0.52,-7.02,-0.66,0.52,1.37,-0.22,14.44,-7.39,0.65,-0.76,-0.00,0.02,61.23,0.73,189
1970-01-01 00:00:12.972,-145.05,-87.76,136.12,97.68,-0.98,-0.90,-12.58,-0.98,-0.90,-0.86,-0.45,7.05,0.00,0.65,-0.76,-0.00,0.02,61.36,0.73,181
1970-01-01 00:00:13.042,-145.47,-87.69,136.70,1603.39,-1.43,-0.05,-7.45,-0.98,-0.05,-0.86,0.34,5.93,4.70,0.65,-0.76,-0.00,0.02,61.36,0.73,144
1970-01-01 00:00:13.112,-145.08,-87.63,136.33,-42.73,-1.51,2.05,-9.71,-0.98,2.05,-0.86,-1.12,-8.73,5.15,0.65,-0.76,-0.00,0.02,61.23,0.67,184
1970-01-01 00:00:13.191,-144.90,-87.75,136.31,-111.21,-1.86,0.79,-10.13,1.28,0.79,-1.09,1.23,-4.03,-1.01,0.65,-0.76,-0.00,0.02,61.23,0.67,205
1970-01-01 00:00:13.251,-144.90,-87.75,136.31,64.55,-2.81,-1.36,-7.94,1.28,-1.36,-1.09,-1.34,-10.74,7.50,0.65,-0.76,-0.00,0.02,61.29,0.73,183
1970-01-01 00:00:13.321,-145.33,-87.68,136.83,93.52,-2.47,-0.94,-11.50,1.28,-0.94,-1.09,0.34,-2.24,-4.03,0.65,-0.76,-0.00,0.02,61.29,0.79,174
1970-01-01 00:00:13.391,-145.81,-87.67,137.45,660.14,-1.39,-0.13,-6.99,1.28,-0.13,-1.09,0.00,3.36,5.82,0.65,-0.76,-0.00,0.02,61.29,0.73,175
1970-01-01 00:00:13.462,-145.34,-87.69,136.98,-74.83,-1.93,1.17,-9.10,1.28,1.17,-1.09,-0.45,3.92,6.15,0.65,-0.76,-0.00,0.02,61.42,0.67,174
1970-01-01 00:00:13.532,-144.96,-87.75,136.30,200.58,-1.62,-0.44,-9.21,1.28,-0.44,-1.09,1.23,9.74,-1.90,0.65,-0.76,-0.00,0.02,61.23,0.67,179
1970-01-01 00:00:13.602,-145.58,-87.78,137.03,-4494.53,-0.25,0.02,-13.80,-0.98,0.02,1.51,0.45,12.53,-6.49,0.65,-0.76,-0.00,0.02,61.23,0.73,173
1970-01-01 00:00:13.682,-145.57,-87.73,137.12,-57.88,-0.71,1.52,-11.01,-0.28,1.52,0.98,-0.11,-2.35,-2.24,0.65,-0.76,-0.00,0.02,61.05,0.67,184
