Timestamp,ax,ay,az,qw,qx,qy,qz
20777011,0.49,-6.81,6.80,0.11,-0.02,-0.38,0.92
20852011,0.49,-7.04,6.45,0.11,-0.02,-0.40,0.91
20927011,0.41,-7.41,6.34,0.11,-0.03,-0.42,0.90
21007011,0.30,-7.65,5.61,0.11,-0.03,-0.45,0.89
21082011,0.45,-8.26,5.38,0.11,-0.05,-0.48,0.87
21157011,0.26,-8.34,4.54,0.11,-0.06,-0.51,0.85
21232011,0.03,-8.64,3.39,0.12,-0.06,-0.53,0.83
21307011,0.14,-8.95,3.27,0.12,-0.06,-0.56,0.82
21382011,0.61,-8.84,3.27,0.12,-0.05,-0.59,0.80
21457011,0.80,-9.61,2.39,0.12,-0.05,-0.61,0.78
21542011,1.03,-9.53,1.74,0.11,-0.04,-0.64,0.76
21627011,0.84,-9.41,1.70,0.10,-0.04,-0.65,0.75
21707011,0.91,-9.79,1.59,0.09,-0.04,-0.66,0.74
21792011,0.61,-9.79,1.21,0.10,-0.04,-0.66,0.74
21877011,0.64,-9.57,1.25,0.10,-0.05,-0.66,0.74
21967011,0.61,-9.56,1.17,0.09,-0.05,-0.66,0.75
22057011,0.61,-9.64,1.21,0.09,-0.05,-0.66,0.75
22142011,0.61,-9.60,1.29,0.09,-0.05,-0.66,0.75
22232011,0.61,-9.53,1.21,0.09,-0.04,-0.66,0.75
22312011,0.61,-9.53,1.09,0.09,-0.04,-0.66,0.75
22387011,0.61,-9.60,1.17,0.09,-0.04,-0.66,0.74
22477011,0.61,-9.53,0.98,0.09,-0.04,-0.66,0.74
22567011,0.64,-9.64,1.09,0.09,-0.04,-0.67,0.74
22647011,0.61,-9.56,0.94,0.09,-0.05,-0.67,0.74
22727011,0.64,-9.64,0.67,0.09,-0.05,-0.68,0.73
22802011,0.64,-9.60,0.67,0.09,-0.04,-0.68,0.73
22887290,0.64,-9.56,0.55,0.09,-0.04,-0.68,0.72
22972011,0.68,-9.68,0.17,0.09,-0.04,-0.69,0.72
23052011,0.68,-9.75,0.29,0.09,-0.04,-0.69,0.71
23142011,0.76,-9.64,0.29,0.09,-0.04,-0.69,0.71
23222011,0.72,-9.56,0.32,0.09,-0.04,-0.69,0.71
23307011,0.72,-9.60,0.44,0.09,-0.04,-0.69,0.72
23387011,0.76,-9.61,0.29,0.09,-0.04,-0.69,0.71
